station_id,state,district,water_body_type,year,month,temperature,pH,dissolved_oxygen,conductivity,turbidity,bod,nitrate,fecal_coliform,water_quality_class,water_status,risk_score
STN_1050,Madhya Pradesh,Chhindwara,River,2021,9,15.43,6.51,8.43,470.49,19.29,6.59,1.43,1143,Polluted,Polluted,6
STN_1051,Telangana,Medchal–Malkajgiri,Lake,2021,5,18.92,8.06,4.11,708.82,15.45,3.86,9.23,1255,Moderate,Polluted,8
STN_1052,Rajasthan,Alwar,Groundwater,2019,9,21.9,8.13,7.17,363.91,6.8,4.01,14.84,1025,Moderate,Polluted,6
STN_1053,Madhya Pradesh,Khandwa,River,2021,10,29.6,7.36,7.84,597.25,11.44,3.11,17.13,1149,Moderate,Polluted,6
STN_1054,Maharashtra,Nashik,River,2019,11,28.11,7.24,6.8,307.85,3.56,5.09,27.87,994,Moderate,Moderate,5
STN_1055,Telangana,Warangal,Groundwater,2021,2,16.15,7.11,5.99,495.69,17.67,9.01,15.42,491,Polluted,Polluted,6
STN_1056,Karnataka,Mandya,Groundwater,2019,5,30.44,8.01,6.68,1336.48,7.45,9.76,10.1,1129,Polluted,Polluted,6
STN_1057,Telangana,Hanamkonda,River,2021,12,26.6,6.99,5.97,755.09,14.94,8.55,11.13,309,Polluted,Polluted,6
STN_1058,Maharashtra,Thane,Groundwater,2019,10,16.72,8.12,3.39,444.73,13.03,8.27,1.65,253,Polluted,Polluted,8
STN_1059,Andhra Pradesh,West Godavari,Groundwater,2022,10,21.28,7.9,7.3,1165.39,17.2,8.03,35.1,1865,Polluted,Polluted,6
STN_1060,Uttar Pradesh,Varanasi,Lake,2020,2,16.72,7.53,3.79,717.88,3.96,7.86,14.78,1389,Polluted,Polluted,7
STN_1061,West Bengal,Nadia,Lake,2022,8,27.03,8.51,8.69,592.43,9.71,1.21,14.23,1351,Moderate,Polluted,6
STN_1062,Tamil Nadu,Cuddalore,River,2020,11,22.12,8.29,4.27,1303.31,13.4,3.56,22.96,1400,Moderate,Polluted,8
STN_1063,West Bengal,Murshidabad,River,2021,2,16.57,8.17,8.67,315.71,16.72,9.33,15.01,270,Polluted,Polluted,6
STN_1064,Tamil Nadu,Chennai,Lake,2023,6,20.25,7.47,4.85,725.43,18.47,8.21,28.41,967,Polluted,Polluted,8
STN_1065,Uttar Pradesh,Prayagraj,River,2019,2,19.42,7.16,5.05,708.78,9.04,8.7,20.64,564,Polluted,Polluted,6
STN_1066,Karnataka,Tumakuru,River,2021,11,24.67,7.12,8.67,439.06,11.94,7.11,22.05,991,Polluted,Polluted,6
STN_1067,Karnataka,Hassan,River,2021,4,16.52,8.62,3.02,910.84,6.46,7.53,39.96,1112,Polluted,Polluted,10
STN_1068,Maharashtra,Aurangabad,River,2022,8,19.76,7.69,3.39,713.25,9.5,9.42,16.82,1245,Polluted,Polluted,8
STN_1069,Karnataka,Shivamogga,Groundwater,2022,4,22.61,6.78,4.04,703.33,19.47,3.97,17.28,1613,Moderate,Polluted,8
STN_1070,Madhya Pradesh,Ratlam,Lake,2019,3,32.43,8.09,7.41,678.88,4.07,6.07,2.45,609,Polluted,Moderate,5
STN_1071,Bihar,Muzaffarpur,Groundwater,2019,2,26.59,8.36,6.36,1337.94,11.25,2.21,42.86,1363,Safe,Moderate,4
STN_1072,Bihar,Darbhanga,River,2023,9,15.12,7.84,5.18,576.5,1.56,2.36,40.06,1369,Safe,Moderate,3
STN_1073,Maharashtra,Solapur,Lake,2020,6,33.1,7.02,7.56,795.52,12.81,2.94,37.34,435,Safe,Moderate,4
STN_1074,Rajasthan,Bharatpur,River,2022,12,29.26,7.21,5.86,1268.2,19.32,1.91,8.52,1266,Safe,Moderate,4
STN_1075,Rajasthan,Sikar,River,2022,10,31.03,7.96,5.47,870.97,19.9,7.3,44.62,1805,Polluted,Polluted,6
STN_1076,Karnataka,Davanagere,Groundwater,2022,1,30.02,7.35,5.82,873.53,6.03,8.55,6.36,283,Polluted,Polluted,6
STN_1077,Telangana,Karimnagar,Lake,2022,12,27.7,8.0,7.9,1194.59,12.55,4.63,38.11,1030,Moderate,Polluted,6
STN_1078,Bihar,Purnia,Lake,2022,6,24.96,7.45,7.91,887.14,13.06,7.44,41.26,1619,Polluted,Polluted,6
STN_1079,Bihar,Araria,Groundwater,2019,2,23.26,8.33,6.89,1460.86,15.87,1.09,17.67,775,Safe,Moderate,4
STN_1080,Andhra Pradesh,Krishna,Lake,2022,11,22.7,7.34,6.16,912.08,2.32,7.89,7.97,788,Polluted,Moderate,5
STN_1081,Karnataka,Chitradurga,Lake,2022,11,21.88,8.46,8.42,655.3,11.84,8.66,35.71,37,Polluted,Moderate,3
STN_1082,Uttar Pradesh,Agra,Lake,2019,3,21.41,6.52,5.89,477.09,10.25,4.94,18.77,1614,Moderate,Polluted,6
STN_1083,Karnataka,Ballari,River,2020,6,17.44,6.63,6.83,660.8,13.28,5.17,11.07,228,Moderate,Polluted,6
STN_1084,Karnataka,Belagavi,Lake,2020,11,28.57,7.58,3.72,974.52,4.47,8.08,40.01,1399,Polluted,Polluted,7
STN_1085,Rajasthan,Chittorgarh,River,2020,4,25.14,7.15,4.89,422.77,13.39,3.75,2.53,1682,Moderate,Polluted,8
STN_1086,Madhya Pradesh,Dewas,Groundwater,2020,1,17.86,8.48,3.77,534.94,18.28,7.59,27.95,1841,Polluted,Polluted,8
STN_1087,West Bengal,Bardhaman,Groundwater,2019,5,18.68,8.68,8.91,542.43,6.5,9.79,42.81,1878,Polluted,Polluted,8
STN_1088,Uttar Pradesh,Meerut,Lake,2022,7,34.05,6.89,4.56,565.61,2.33,4.99,17.09,1723,Moderate,Polluted,7
STN_1089,West Bengal,Birbhum,Groundwater,2021,12,30.44,7.61,7.08,251.66,1.3,2.34,25.76,1747,Safe,Moderate,3
STN_1090,Telangana,Nizamabad,Groundwater,2020,10,33.52,7.3,6.96,1492.63,12.26,3.67,13.66,1026,Moderate,Polluted,6
STN_1091,Bihar,Begusarai,Lake,2019,5,24.92,7.09,4.04,239.31,2.23,9.39,27.61,641,Polluted,Polluted,7
STN_1092,Madhya Pradesh,Bhopal,River,2021,3,22.79,8.73,5.32,586.1,3.44,5.75,30.09,1743,Moderate,Polluted,7
STN_1093,Bihar,Samastipur,Lake,2022,1,19.32,7.14,3.27,1168.54,5.77,2.73,34.45,141,Moderate,Polluted,6
STN_1094,Telangana,Adilabad,River,2023,12,26.32,7.02,7.82,1139.74,6.09,4.48,2.82,945,Moderate,Polluted,6
STN_1095,Bihar,Siwan,River,2019,2,34.68,7.05,4.29,1062.76,12.18,4.29,44.23,272,Moderate,Polluted,8
STN_1096,Bihar,Saran,River,2022,9,28.36,8.73,3.09,1332.79,13.18,5.56,26.0,1046,Moderate,Polluted,10
STN_1097,Uttar Pradesh,Ghaziabad,River,2022,9,28.97,6.94,3.15,511.1,2.86,2.17,18.35,397,Moderate,Moderate,5
STN_1098,Maharashtra,Kolhapur,River,2021,10,18.8,7.3,4.84,1056.08,19.03,2.94,22.22,927,Moderate,Polluted,6
STN_1099,Karnataka,Dharwad,River,2023,6,31.84,8.28,7.71,241.65,18.83,8.98,13.29,1888,Polluted,Polluted,6
STN_1100,Karnataka,Bengaluru Urban,Lake,2022,11,32.92,8.77,3.43,601.95,17.43,3.73,31.23,384,Moderate,Polluted,10
STN_1101,Bihar,Patna,River,2020,1,22.88,8.38,6.27,1160.54,18.34,3.51,34.8,112,Moderate,Polluted,6
STN_1102,Telangana,Khammam,Lake,2023,11,19.77,7.91,4.59,535.35,11.7,9.42,35.73,1517,Polluted,Polluted,8
STN_1103,Telangana,Mahabubnagar,Groundwater,2022,7,27.19,7.08,4.12,611.23,17.97,1.34,36.43,189,Moderate,Polluted,6
STN_1104,Rajasthan,Bhilwara,Lake,2020,7,29.66,7.92,6.2,446.03,13.54,8.99,28.23,864,Polluted,Polluted,6
STN_1105,Maharashtra,Amravati,River,2021,2,22.03,6.95,8.57,402.33,15.11,6.65,18.41,1756,Polluted,Polluted,6
STN_1106,West Bengal,Malda,River,2023,4,20.63,7.53,5.6,1310.82,10.96,2.08,18.3,1114,Safe,Moderate,4
STN_1107,Andhra Pradesh,Guntur,River,2022,1,20.58,7.11,4.99,1319.58,13.52,4.64,27.06,741,Moderate,Polluted,8
STN_1108,Andhra Pradesh,Palnadu,River,2022,4,22.23,7.2,4.75,416.8,14.3,7.82,31.49,347,Polluted,Polluted,8
STN_1109,Andhra Pradesh,Bapatla,River,2023,8,22.2,8.7,8.66,879.47,9.17,6.68,43.16,487,Polluted,Polluted,8
STN_1110,Andhra Pradesh,Prakasam,Groundwater,2021,7,20.73,7.85,4.0,871.66,15.12,6.56,39.12,1152,Polluted,Polluted,8
STN_1111,Bihar,Gaya,Groundwater,2020,4,15.76,6.59,8.43,1458.03,18.84,7.04,36.82,1966,Polluted,Polluted,6
STN_1112,Rajasthan,Pali,Groundwater,2022,9,18.58,8.65,6.4,216.39,6.52,4.32,7.73,1909,Moderate,Polluted,8
STN_1113,Rajasthan,Jaipur,Groundwater,2023,7,17.75,8.76,3.57,1267.71,6.21,7.41,20.15,486,Polluted,Polluted,10
STN_1114,Telangana,Hyderabad,Lake,2022,11,25.96,7.25,7.89,551.76,10.32,6.19,38.43,1393,Polluted,Polluted,6
STN_1115,Tamil Nadu,Coimbatore,Groundwater,2020,9,20.54,7.7,7.66,1114.58,17.25,8.07,37.32,1846,Polluted,Polluted,6
STN_1116,Madhya Pradesh,Indore,River,2019,8,32.09,7.63,8.54,917.87,8.6,7.61,39.23,976,Polluted,Polluted,6
STN_1117,Tamil Nadu,Madurai,River,2019,4,23.99,7.68,8.01,1449.56,13.58,9.87,1.87,42,Polluted,Moderate,3
STN_1118,Rajasthan,Jodhpur,Groundwater,2023,12,21.51,6.91,7.23,1261.22,5.51,4.86,40.45,1240,Moderate,Polluted,6
STN_1119,Karnataka,Bengaluru Rural,Groundwater,2019,4,19.79,7.11,7.79,1137.7,13.34,1.43,40.06,1269,Safe,Moderate,4
STN_1120,Maharashtra,Satara,River,2020,2,22.79,7.54,5.62,683.08,12.2,3.79,32.91,1098,Moderate,Polluted,6
STN_1121,Uttar Pradesh,Noida,Lake,2021,12,28.1,6.63,3.81,879.86,6.24,2.34,3.59,716,Moderate,Polluted,6
STN_1122,Bihar,Nalanda,River,2019,11,17.91,7.55,8.05,1164.31,4.31,7.41,2.58,1113,Polluted,Moderate,5
STN_1123,Tamil Nadu,Tiruchirappalli,Groundwater,2023,3,26.89,8.39,7.65,1253.96,11.99,5.49,43.44,979,Moderate,Polluted,6
STN_1124,Rajasthan,Udaipur,Lake,2020,11,17.3,8.55,7.49,1344.97,11.24,8.65,24.69,1756,Polluted,Polluted,8
STN_1125,Karnataka,Mysuru,Groundwater,2023,8,31.67,7.34,5.95,872.27,1.59,3.61,26.81,810,Moderate,Moderate,5
STN_1126,Karnataka,Mandya,River,2019,6,27.54,8.05,6.58,549.35,5.23,5.95,31.52,1027,Moderate,Polluted,6
STN_1127,Maharashtra,Jalgaon,River,2019,7,16.6,7.28,5.65,696.23,18.68,1.07,43.76,1355,Safe,Moderate,4
STN_1128,Madhya Pradesh,Jabalpur,River,2019,9,16.4,7.13,8.73,249.52,10.53,4.54,25.68,308,Moderate,Polluted,6
STN_1129,Tamil Nadu,Salem,Groundwater,2023,9,24.67,7.48,8.56,275.85,18.36,5.25,11.13,210,Moderate,Polluted,6
STN_1130,Bihar,Bhagalpur,River,2019,2,15.33,7.01,3.23,503.73,14.59,2.32,2.51,1088,Moderate,Polluted,6
STN_1131,Madhya Pradesh,Gwalior,Groundwater,2021,2,30.83,6.96,4.07,625.68,5.0,1.46,18.41,324,Moderate,Moderate,5
STN_1132,Andhra Pradesh,Nellore,River,2023,2,33.4,7.31,6.94,1238.32,8.96,5.79,40.48,752,Moderate,Polluted,6
STN_1133,Telangana,Rangareddy,River,2021,9,29.43,6.84,5.65,1251.51,2.0,9.23,40.52,1335,Polluted,Moderate,5
STN_1134,Rajasthan,Kota,Groundwater,2019,6,20.94,6.95,4.64,598.29,13.54,5.77,44.4,914,Moderate,Polluted,8
STN_1135,West Bengal,Jalpaiguri,Lake,2022,2,20.67,7.06,6.66,886.27,12.91,6.3,22.32,1381,Polluted,Polluted,6
STN_1136,Maharashtra,Mumbai City,River,2019,9,20.35,7.51,7.1,685.89,10.03,5.16,42.74,1664,Moderate,Polluted,6
STN_1137,Maharashtra,Mumbai Suburban,Groundwater,2019,11,16.61,7.23,4.74,1264.66,5.17,2.87,34.15,1483,Moderate,Polluted,6
STN_1138,Tamil Nadu,Erode,River,2019,5,23.2,7.78,3.44,1035.26,7.95,7.9,13.79,1692,Polluted,Polluted,8
STN_1139,Telangana,Medchal–Malkajgiri,River,2019,11,21.12,8.52,3.25,1224.67,18.69,1.4,33.79,1528,Moderate,Polluted,8
STN_1140,Tamil Nadu,Tirunelveli,Lake,2020,12,30.15,6.72,5.11,693.94,11.72,6.21,22.17,996,Polluted,Polluted,6
STN_1141,Madhya Pradesh,Ujjain,Lake,2022,3,31.15,6.58,3.24,1096.05,18.37,6.38,16.07,1133,Polluted,Polluted,8
STN_1142,Rajasthan,Ajmer,Groundwater,2021,11,28.82,7.12,4.1,997.57,12.21,2.37,31.59,732,Moderate,Polluted,6
STN_1143,Telangana,Warangal,River,2023,11,32.5,6.64,6.82,1077.06,13.18,8.23,44.96,1978,Polluted,Polluted,6
STN_1144,Tamil Nadu,Thoothukudi,Groundwater,2019,7,27.07,7.49,5.67,536.85,10.23,2.62,26.79,1208,Safe,Moderate,4
STN_1145,Uttar Pradesh,Gorakhpur,Lake,2019,10,17.63,6.83,8.93,752.86,19.6,9.7,39.65,1099,Polluted,Polluted,6
STN_1146,Rajasthan,Bikaner,Groundwater,2022,3,21.26,8.55,3.98,660.88,6.49,1.36,11.97,970,Moderate,Polluted,8
STN_1147,West Bengal,Darjeeling,Lake,2019,10,24.26,8.38,6.96,906.42,2.42,3.99,36.57,521,Moderate,Moderate,5
STN_1148,Maharashtra,Pune,Groundwater,2021,7,34.12,7.44,5.57,990.27,17.0,1.22,33.22,89,Safe,Safe,1
STN_1149,Andhra Pradesh,Kurnool,Groundwater,2020,7,25.72,7.03,7.48,1353.06,17.1,8.67,27.44,280,Polluted,Polluted,6
STN_1150,Bihar,Muzaffarpur,Lake,2022,1,30.41,6.82,8.47,823.11,13.02,9.26,8.82,1172,Polluted,Polluted,6
STN_1151,Telangana,Hanamkonda,Groundwater,2019,7,33.48,7.47,6.03,270.36,13.81,5.98,16.44,605,Moderate,Polluted,6
STN_1152,Telangana,Karimnagar,River,2021,11,17.22,8.4,3.68,1124.61,14.66,7.0,17.21,1367,Polluted,Polluted,8
STN_1153,Bihar,Darbhanga,Lake,2023,2,25.92,7.1,6.0,365.53,11.85,2.55,39.73,484,Safe,Moderate,4
STN_1154,Bihar,Purnia,River,2020,6,21.85,8.47,7.56,372.54,8.72,8.12,18.01,1992,Polluted,Polluted,6
STN_1155,Andhra Pradesh,Visakhapatnam,River,2022,5,28.04,8.18,8.1,1228.65,18.01,6.25,19.96,1221,Polluted,Polluted,6
STN_1156,Rajasthan,Alwar,Groundwater,2020,12,24.5,7.8,7.53,911.11,18.77,4.81,40.01,1998,Moderate,Polluted,6
STN_1157,Telangana,Nizamabad,Lake,2019,6,20.04,6.55,4.57,1422.91,5.56,3.61,43.2,305,Moderate,Polluted,8
STN_1158,West Bengal,Kolkata,Groundwater,2023,6,25.72,6.9,6.05,662.21,16.19,1.57,18.98,1751,Safe,Moderate,4
STN_1159,Telangana,Adilabad,Groundwater,2023,11,34.05,8.49,4.36,927.09,18.06,2.77,16.94,1645,Moderate,Polluted,6
STN_1160,West Bengal,Howrah,Lake,2021,3,24.76,8.53,5.25,630.49,2.25,7.67,3.39,587,Polluted,Polluted,7
STN_1161,Uttar Pradesh,Bareilly,River,2022,3,15.24,6.73,4.91,564.4,12.32,8.87,44.82,1067,Polluted,Polluted,8
STN_1162,Andhra Pradesh,Anakapalli,Groundwater,2022,8,16.05,8.53,4.99,594.91,11.06,4.21,19.57,1806,Moderate,Polluted,10
STN_1163,Maharashtra,Nagpur,River,2023,7,16.31,6.75,4.98,474.41,5.8,2.08,18.06,1617,Moderate,Polluted,6
STN_1164,Maharashtra,Nashik,Lake,2022,5,23.44,6.68,3.96,556.24,5.78,6.4,20.05,1409,Polluted,Polluted,8
STN_1165,Rajasthan,Bharatpur,River,2019,7,22.76,7.91,6.87,616.71,15.66,8.34,22.31,1340,Polluted,Polluted,6
STN_1166,Telangana,Khammam,Groundwater,2020,12,29.61,6.58,3.35,281.34,9.55,9.69,44.2,1459,Polluted,Polluted,8
STN_1167,Andhra Pradesh,Kakinada,Lake,2019,12,23.5,7.55,3.23,914.98,18.06,3.82,4.55,927,Moderate,Polluted,8
STN_1168,Telangana,Mahabubnagar,River,2022,8,33.71,7.13,6.5,443.78,4.41,2.21,24.67,377,Safe,Moderate,3
STN_1169,Telangana,Hyderabad,Lake,2022,5,31.87,6.51,7.8,659.03,1.76,6.5,13.58,1395,Polluted,Moderate,5
STN_1170,Maharashtra,Thane,River,2023,11,30.05,6.57,8.22,1240.8,17.63,5.21,31.92,1547,Moderate,Polluted,6
STN_1171,Maharashtra,Aurangabad,Groundwater,2023,10,27.82,6.73,4.97,590.52,15.12,2.66,38.41,1257,Moderate,Polluted,6
STN_1172,Andhra Pradesh,East Godavari,River,2020,11,26.91,8.52,5.89,1164.4,9.98,3.21,37.6,727,Moderate,Polluted,8
STN_1173,West Bengal,Hooghly,Lake,2019,10,30.95,7.98,6.98,1379.34,10.51,6.12,30.99,449,Polluted,Polluted,6
STN_1174,Andhra Pradesh,West Godavari,Lake,2022,4,32.72,6.5,7.69,1222.44,14.4,8.25,6.76,312,Polluted,Polluted,6
STN_1175,Telangana,Rangareddy,Groundwater,2022,5,24.85,6.91,3.85,340.81,13.0,6.05,21.8,1450,Polluted,Polluted,8
STN_1176,Rajasthan,Sikar,River,2020,11,25.0,6.72,6.88,630.74,18.7,6.23,37.39,912,Polluted,Polluted,6
STN_1177,Rajasthan,Chittorgarh,Lake,2021,6,17.07,6.61,3.29,857.59,1.65,4.47,15.66,1604,Moderate,Polluted,7
STN_1178,Tamil Nadu,Vellore,Groundwater,2020,2,16.38,7.53,8.65,834.33,19.52,6.02,27.8,791,Polluted,Polluted,6
STN_1179,Telangana,Medchal–Malkajgiri,River,2021,4,33.73,7.94,4.98,468.1,13.56,2.29,12.73,1102,Moderate,Polluted,6
STN_1180,Madhya Pradesh,Sagar,River,2022,5,26.2,6.93,3.36,242.43,19.53,5.71,19.45,1870,Moderate,Polluted,8
STN_1181,Rajasthan,Bhilwara,River,2021,11,22.95,8.31,4.58,1052.31,5.83,3.08,11.46,828,Moderate,Polluted,8
STN_1182,Andhra Pradesh,Krishna,Groundwater,2022,2,30.69,8.15,6.71,461.45,11.45,3.22,43.88,1009,Moderate,Polluted,6
STN_1183,Maharashtra,Solapur,Groundwater,2021,4,33.68,7.7,5.44,389.45,16.66,5.68,24.0,1019,Moderate,Polluted,6
STN_1184,Maharashtra,Kolhapur,Groundwater,2019,8,32.27,6.72,6.64,1474.11,6.88,5.29,3.13,1733,Moderate,Polluted,6
STN_1185,Andhra Pradesh,Guntur,Groundwater,2019,6,29.98,7.63,6.59,690.6,16.25,1.09,5.92,901,Safe,Moderate,4
STN_1186,Uttar Pradesh,Aligarh,River,2023,11,22.61,6.54,8.25,1044.41,4.37,9.7,39.04,1027,Polluted,Moderate,5
STN_1187,Karnataka,Tumakuru,River,2019,6,31.3,8.69,8.92,555.69,12.57,3.96,14.75,1523,Moderate,Polluted,8
STN_1188,Uttar Pradesh,Lucknow,River,2023,4,26.42,6.76,5.74,1068.08,18.66,6.62,16.16,1900,Polluted,Polluted,6
STN_1189,Maharashtra,Amravati,Groundwater,2022,10,24.11,7.22,5.61,1315.78,12.16,4.28,4.39,1637,Moderate,Polluted,6
STN_1190,Maharashtra,Satara,Lake,2020,6,27.06,7.75,7.88,746.62,11.75,3.87,40.33,1577,Moderate,Polluted,6
STN_1191,Madhya Pradesh,Rewa,Groundwater,2022,12,32.02,7.23,3.27,434.81,8.68,7.99,15.85,526,Polluted,Polluted,8
STN_1192,Karnataka,Hassan,Lake,2023,11,22.49,6.97,3.02,865.65,7.94,2.16,20.27,1398,Moderate,Polluted,6
STN_1193,West Bengal,North 24 Parganas,Lake,2019,1,24.96,6.95,7.47,778.56,15.92,1.26,42.28,1249,Safe,Moderate,4
